Leading Gene name,Leading Protein ID,Median_cirrhosis,Median_nonNAFLD,Median_NAFLD,P-value [-Log10],Log2 difference,RNA tissue category,Significant,Peptides,Razor + unique peptides,Unique peptides,Sequence coverage [%],Unique + razor sequence coverage [%],Unique sequence coverage [%],Mol. weight [kDa],Q-value,Score,Intensity,MS/MS count,Protein IDs,Majority protein IDs,Protein names,Gene names
APOL1,Q2KHQ6,25.947135,26.71293,26.807445,1.297333881,-0.481315422,,,20,2,0,52,2.3,0,43.927,0.001084,3.487,15613000000,42,Q2KHQ6;Q29RW7;Q1WWL5;A5PL32;B2R9E5;B4E1N5;U5LKC6;U5LII8;U5LKN4;U5LKN0;U5LKR8;U5LIC5;B4DNT5;A0A1B2FJ57;A0A1B2FJ29;A0A1B2FK99;A0A1B2FJT7;A0A1B2FJS0;A0A1B2FIX0,Q2KHQ6;Q29RW7;Q1WWL5;A5PL32;B2R9E5;B4E1N5;U5LKC6;U5LII8;U5LKN4;U5LKN0;U5LKR8;U5LIC5;B4DNT5;A0A1B2FJ57;A0A1B2FJ29;A0A1B2FK99;A0A1B2FJT7;A0A1B2FJS0;A0A1B2FIX0,,APOL1
APOC4,A5YAK2,22.325705,26.45042,25.55052,1.075247126,-1.816917398,Tissue enriched,,4,3,3,32.3,25.2,25.2,14.58,0,23.595,18023000000,74,A5YAK2;P55056,A5YAK2;P55056,Apolipoprotein C-IV,APOC4
BST1,Q10588,24.22374,23.78712,22.308615,0.279255405,-0.636914868,,,8,8,8,33.3,33.3,33.3,35.724,0,323.31,45054000000,71,Q10588;A6NC48;H0Y984;H0Y8G4;H0Y9Q9,Q10588;A6NC48;H0Y984;H0Y8G4,ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 2,BST1
TTR,P02766,34.56124,34.91528,34.963435,5.779278391,-0.41301757,Tissue enriched,+,19,19,4,80.3,80.3,16.3,15.887,0,323.31,1.12E+13,6739,P02766;E9KL36;A6XGL1;A0A087WT59;A0A087WV45;Q8TDB2;Q53WY6;Q8TDB1,P02766;E9KL36;A6XGL1;A0A087WT59;A0A087WV45,Transthyretin,TTR;HEL111
IGFBP3,P17936,26.516305,27.27142,26.98681,4.107211418,-0.654973475,,+,15,15,11,45.7,45.7,33.3,31.674,0,259.58,3.27E+11,478,P17936;A6XND1;A6XND0;B3KTQ0;B4DP07;B4DN53;B3KWK7;A6XNC9;B3KVF9;H0Y5K2;B3KVY6;B3KTS0;Q6ZSD0;B3KRZ1;H0Y485;C9JMX4,P17936;A6XND1;A6XND0;B3KTQ0;B4DP07;B4DN53;B3KWK7;A6XNC9;B3KVF9;H0Y5K2;B3KVY6;B3KTS0;Q6ZSD0;B3KRZ1;H0Y485;C9JMX4,Insulin-like growth factor-binding protein 3,IGFBP3
B2M,A6XND9,28.220145,27.82639,27.91416,1.680034904,0.399575445,,,4,4,1,47.5,47.5,10.9,11.748,0,189.5,4.39E+11,293,A6XND9;F5H6I0,A6XND9;F5H6I0,,B2M
CFD,P00746,26.195535,26.02749,25.833595,0.930468669,0.202020031,,,8,8,8,49.4,49.4,49.4,27.033,0,323.31,1.19E+11,288,P00746;Q6FHW3;K7ERG9;A6XNE2,P00746;Q6FHW3;K7ERG9;A6XNE2,Complement factor D,CFD;DF
IGHG1,A8K008,32.59666,32.09899,32.197385,0.475289558,0.272013601,,,21,3,0,50,6.6,0,51.596,0,110.21,8.38E+11,370,A8K008;P01857;Q5EFE5;A0A0A0MS08;A0A0A0MS07;S6AWD9;S6BGE5;S6C4Q7;S6BAN1;A0A0B4J1V0;Q0ZCJ6;A2N2G5;Q6ZP87;S6BAQ4;S6AWF0;S6BAP4;A0A0G2JN55;A2J1N8;A2J1N9;A2J1M7;A0A0B4J1V6,A8K008;P01857;Q5EFE5;A0A0A0MS08;A0A0A0MS07,Ig gamma-1 chain C region,IGHG1
ANGPTL3,Q9Y5C1,22.44671,22.13637,22.34319,0.44959511,0.250449414,Tissue enriched,,14,14,14,37,37,37,53.637,0,95.605,11370000000,96,Q9Y5C1;A8K061,Q9Y5C1;A8K061,Angiopoietin-related protein 3,ANGPTL3
GPR116,A8K0D8,27.65301,27.62506,27.954905,0.491552255,-1.344101609,,,12,12,12,9.9,9.9,9.9,149.49,0,92.314,38778000000,94,A8K0D8;Q8IZF2;A0A024RD26;B4DTV3;B4DLD2;Q4G0K7;Q8NGA9,A8K0D8;Q8IZF2;A0A024RD26;B4DTV3;B4DLD2,Probable G-protein coupled receptor 116,GPR116
OLFM1,Q99784,24.33135,23.76951,23.93254,1.063145849,0.65588932,,,8,8,8,17.9,17.9,17.9,55.342,0,90.172,49548000000,131,Q99784;Q6IMJ8;A8K1K6;A8K104;F5H810;Q96BL8;B3KR22;H0YFB9;F5GZQ2;F8W870;Q6IMJ7,Q99784;Q6IMJ8;A8K1K6;A8K104;F5H810;Q96BL8,Noelin,OLFM1
CNDP1,A8K1K1,27.4374,28.18423,27.970475,3.198852801,-0.831368319,Group enriched,+,25,25,25,64.1,64.1,64.1,56.734,0,323.31,4.86E+11,984,A8K1K1;Q96KN2;J3KRP0;B4E180,A8K1K1;Q96KN2;J3KRP0;B4E180,Beta-Ala-His dipeptidase,CNDP1
LEPR,P48357,21.60561,23.04297,21.03079,0.955888754,-0.91384307,,,6,6,6,8.8,8.8,8.8,132.49,0,41.206,2459600000,14,P48357;A8K2E3;Q4G138,P48357;A8K2E3;Q4G138,Leptin receptor,LEPR
C7,P10643,31.770685,30.62854,30.89005,5.064612551,1.136414189,,+,37,37,2,51.8,51.8,2.7,93.517,0,323.31,1.67E+12,2153,P10643;A8K2T4;Q05CI3;CON__Q29RQ1,P10643;A8K2T4,Complement component C7,C7
EGFR,P00533,21.9962,21.8671,22.56279,0.280981779,0.339606688,,,13,13,13,12.8,12.8,12.8,134.28,0,220.45,16498000000,98,P00533;Q68GS6;E7BSV0;Q2TTR7;A9CB80;A8K2T7;Q504U8;B7Z2I3;E9PFD7;F2YGG7;A2VCQ7;Q147T7;Q59FL8;C9JYS6;F1JTL6;B6RC66;B6RC65,P00533;Q68GS6;E7BSV0;Q2TTR7;A9CB80;A8K2T7;Q504U8;B7Z2I3;E9PFD7;F2YGG7;A2VCQ7;Q147T7;Q59FL8,Epidermal growth factor receptor;Receptor protein-tyrosine kinase,EGFR
GGH,Q92820,24.80386,24.58692,24.72078,0.860923071,0.193517621,,,12,12,12,42.5,42.5,42.5,35.964,0,323.31,1.69E+11,287,Q92820;A8K335;B4DVI2,Q92820;A8K335;B4DVI2,Gamma-glutamyl hydrolase,GGH
COMP,G3XAP6,24.86552,25.03171,25.082075,0.519839834,0.324840736,,,19,19,16,32.2,32.2,27.6,79.696,0,323.31,59779000000,179,G3XAP6;Q53FR6;A8K3I0;P49747;B4DN90;B4DN75;CON__ENSEMBL:ENSBTAP00000006074;Q8N2R4;B4DQQ9,G3XAP6;Q53FR6;A8K3I0;P49747;B4DN90;B4DN75,Cartilage oligomeric matrix protein,COMP
ADIPOQ,B2R773,27.950835,28.14102,27.522495,0.675509394,-0.380294948,,,6,6,6,41,41,41,26.425,0,323.31,2.88E+11,453,B2R773;A8K660;Q15848,B2R773;A8K660;Q15848,Adiponectin,ADIPOQ
MANBA,A8K6D3,22.20973,22.4374,22.094095,0.376685249,-0.366613558,,,19,19,1,23.9,23.9,1.4,100.94,0,77.002,6865800000,55,A8K6D3;A7LFP5;B4DT18;Q59EG5;Q9NQW7;Q68EA4;Q5T6H3;Q5T6H2;B4E2P4,A8K6D3;A7LFP5;B4DT18,,MANBA
IL1RAP,Q9NPH3,23.651175,24.317,23.772015,2.162604679,-1.301019012,Tissue enhanced,,11,11,11,20.2,20.2,20.2,65.418,0,86.96,52589000000,136,Q9NPH3;A8K6K4;C9J1D9;C9JT28;C9J9W1;H7C3W4,Q9NPH3;A8K6K4;C9J1D9,Interleukin-1 receptor accessory protein,IL1RAP
NUCB1,Q02818,29.14427,28.80193,28.93253,0.679322807,0.355786133,,,19,19,19,53.6,53.6,53.6,53.879,0,137.51,89745000000,76,Q02818;Q53GX6;A8K7Q1;B4DZX0;H7BZI1;Q96BA4;C9JKZ2;B3KUR6;C9JBD3;C9J3C1,Q02818;Q53GX6;A8K7Q1;B4DZX0;H7BZI1,Nucleobindin-1,NUCB1
IGFALS,P35858,29.31754,30.03486,29.90453,4.393956779,-0.627996847,Group enriched,+,26,26,26,51.9,51.9,51.9,66.034,0,323.31,2.27E+12,2136,P35858;Q8TAY0;B0AZL7,P35858;Q8TAY0;B0AZL7,Insulin-like growth factor-binding protein complex acid labile subunit,IGFALS
ENPEP,Q07075,23.114555,22.7095,22.7814,0.894631362,0.526517126,,,27,27,27,31,31,31,109.24,0,116.96,23454000000,119,Q07075;B2R8K9;B0BCZ3;B0BCZ1;B0BCZ0;B0BCY9;B0BCY8;B0BCY7;B0BCZ7;B0BCZ6;B0BCZ2;B0BCZ5;B0BCZ4;H0YA67,Q07075;B2R8K9;B0BCZ3;B0BCZ1;B0BCZ0;B0BCY9;B0BCY8;B0BCY7;B0BCZ7;B0BCZ6;B0BCZ2;B0BCZ5;B0BCZ4,Glutamyl aminopeptidase,ENPEP
PROZ,P22891,26.029335,25.97596,26.353615,0.220370561,-0.166375838,Group enriched,,10,10,10,27,27,27,44.743,0,75.353,62083000000,143,P22891;B0YJC6,P22891;B0YJC6,Vitamin K-dependent protein Z,PROZ
AGT,P01019,31.81719,31.96086,32.03156,0.482772668,-0.072349803,Tissue enhanced,,32,32,0,65.4,65.4,0,53.154,0,323.31,3.93E+12,3014,P01019;B0ZBE2;B4E1B3;B2R5S1,P01019;B0ZBE2;B4E1B3;B2R5S1,Angiotensinogen;Angiotensin-1;Angiotensin-2;Angiotensin-3;Angiotensin-4;Angiotensin 1-9;Angiotensin 1-7;Angiotensin 1-5;Angiotensin 1-4,AGT
FBLN1,B4DUV1,27.16512,26.58262,26.643365,2.009311791,0.479588636,,,10,5,5,21.8,11.9,11.9,70.154,0,190.94,64343000000,149,B4DUV1;B1AHL2;B1AHM7;B1AHM9;H7C1M6;B1AHM6;B1AHN3,B4DUV1;B1AHL2,Fibulin-1,FBLN1
CFHR1,Q03591,28.390855,28.61807,28.54778,0.025907705,0.024815008,Tissue enriched,,10,6,1,43,32.4,3,37.65,0,145.93,1.97E+11,367,Q03591;B1AKG0;Q6LBM9,Q03591;B1AKG0,Complement factor H-related protein 1,CFHR1
,B1N7B8,32.649105,32.4184,32.344905,0.185003798,0.086718305,,,5,5,3,57,57,33.6,11.796,0,323.31,9.15E+11,295,B1N7B8,B1N7B8,,
,B1N7B9,25.119385,24.89273,24.76318,0.807237989,0.825710932,,,3,3,2,35.5,35.5,20,11.314,0,10.643,6091300000,16,B1N7B9;Q8IZD8,B1N7B9,,
,B2R5G8,28.24561,28.59335,28.49762,1.053682027,-0.330029827,,,7,3,3,58.5,30.8,30.8,14.808,0,322.26,1.02E+11,224,B2R5G8,B2R5G8,Serum amyloid A protein,
LYVE1,Q9Y5Y7,25.569175,24.88577,25.248355,3.439498067,0.745383326,,+,7,7,7,17.7,17.7,17.7,35.213,0,22.902,1.51E+11,160,Q9Y5Y7;B2R672,Q9Y5Y7;B2R672,Lymphatic vessel endothelial hyaluronic acid receptor 1,LYVE1;XLKD1
,B2R701,28.01903,27.93719,28.01103,0.288595613,0.147569508,,,12,12,3,32.9,32.9,5.4,45.731,0,323.31,2.43E+11,286,B2R701;B4DXZ3;B4E1P4,B2R701,,
ERAP2,Q6P179,25.165585,25.05051,25.390055,0.158971688,0.22949526,,,23,23,23,26.9,26.9,26.9,110.46,0,87.023,11381000000,59,Q6P179;B2R769;D6RGW0;H0Y9X9;H0YAL8,Q6P179;B2R769;D6RGW0,Endoplasmic reticulum aminopeptidase 2,ERAP2
MINPP1,Q9UNW1,26.537645,26.65949,26.600095,0.614625401,-0.202800475,,,16,16,4,40.7,40.7,13.1,55.051,0,122.8,82659000000,107,Q9UNW1;B2R7D2,Q9UNW1;B2R7D2,Multiple inositol polyphosphate phosphatase 1,MINPP1
CD14,P08571,26.63878,26.35616,26.4989,1.196896289,0.225211737,,,14,14,14,43.5,43.5,43.5,40.076,0,323.31,1.78E+11,282,P08571;F1C4A7;B2R888;D6RFL4;E7EVL5,P08571;F1C4A7;B2R888;D6RFL4,"Monocyte differentiation antigen CD14;Monocyte differentiation antigen CD14, urinary form;Monocyte differentiation antigen CD14, membrane-bound form;Monocyte differentiation antigen CD14",CD14
,B2R8I2,23.605035,24.80931,22.787275,0.077600807,-0.208938493,,,22,2,2,39.8,4,4,59.512,0,54.104,11154000000,38,B2R8I2;Q68DR3,B2R8I2,,
PZP,P20742,25.87266,29.0531,27.060815,1.328772726,-1.730377028,Tissue enriched,,56,46,45,45.5,38.8,38,163.86,0,323.31,6.25E+11,1406,P20742;B2R950;F5GXY0;B7Z7M2,P20742;B2R950,Pregnancy zone protein,PZP
GSTO1,P78417,21.39935,21.72192,22.313725,0.34957995,-0.297999573,,,9,9,9,34,34,34,27.566,0,47.865,17555000000,76,P78417;V9HWG9;B2R983;Q5TA02;Q5TA01,P78417;V9HWG9;B2R983;Q5TA02;Q5TA01,Glutathione S-transferase omega-1,GSTO1;HEL-S-21
CFHR5,Q9BXR6,23.91892,25.03381,21.14021,0.393802536,-0.678376664,Tissue enriched,,5,4,4,7.9,5.6,5.6,64.419,0.00058241,4.391,8486300000,13,Q9BXR6;B2RA39;Q05CF5,Q9BXR6;B2RA39;Q05CF5,Complement factor H-related protein 5,CFHR5
CTBS,Q01459,23.71793,23.73892,24.0687,0.02746508,0.009997707,,,13,13,13,37.9,37.9,37.9,43.759,0,290.34,1.19E+11,211,Q01459;B4DQ98;B2RBF5;B3KQS3;Q8TC97,Q01459;B4DQ98;B2RBF5;B3KQS3,Di-N-acetylchitobiase,CTBS
ITIH4,B2RMS9,22.217045,27.07112,23.72754,1.178938852,-2.206387032,Tissue enriched,,61,3,1,65.7,3.3,2.2,103.36,0,225.83,60169000000,64,B2RMS9;Q68DH2;B7Z8Q7,B2RMS9;Q68DH2;B7Z8Q7,,ITIH4;DKFZp686G21125
LCN2,P80188,23.371175,22.30053,21.51657,0.939193987,1.013945643,,,5,5,5,31.8,31.8,31.8,22.588,0,323.31,6880600000,31,P80188;B2ZDQ1;X6R8F3,P80188;B2ZDQ1;X6R8F3,Neutrophil gelatinase-associated lipocalin,LCN2;NGAL
GOLM1,Q8NBJ4,22.161215,22.18035,22.584335,0.332523276,-0.402490256,,,16,16,16,41.1,41.1,41.1,45.333,0,323.31,26938000000,122,Q8NBJ4;B3KNK9;F8WAT9;C9JYM4;C9J941,Q8NBJ4;B3KNK9,Golgi membrane protein 1,GOLM1;GOLPH2
PDIA3,P30101,22.517,22.75894,22.83495,0.392257398,-0.409213871,,,23,23,20,54.3,54.3,47.7,56.782,0,323.31,66461000000,234,P30101;B3KQT9;V9HVY3;B3KQT2;B4DDM1;B4DJ98,P30101;B3KQT9;V9HVY3;B3KQT2;B4DDM1;B4DJ98,Protein disulfide-isomerase A3;Protein disulfide-isomerase,PDIA3;HEL-S-269
PVR,B3KSS4,23.936005,23.30407,23.751365,2.484760359,0.676190673,,+,11,11,11,29.3,29.3,29.3,39.579,0,323.31,55401000000,148,B3KSS4;P15151;A8K4I1;A0A0C4DG49;A0A0A0MSA9;K7EMC6,B3KSS4;P15151;A8K4I1;A0A0C4DG49;A0A0A0MSA9,Poliovirus receptor,PVR
PLTP,P55058,27.602885,27.60399,27.61043,0.662504928,0.158872901,,,14,14,14,38.5,38.5,38.5,54.739,0,253.8,1.47E+11,290,P55058;B3KUE5;Q53H91,P55058;B3KUE5;Q53H91,Phospholipid transfer protein,PLTP
TNN,Q9UQP3,20.95026,21.22529,21.47589,0.221519362,-0.246830304,,,17,17,17,15.7,15.7,15.7,144.03,0,75.315,1460300000,30,Q9UQP3;B3KXB6;B7ZM70;A0A087WXT0;A0A087WXC4,Q9UQP3;B3KXB6;B7ZM70;A0A087WXT0;A0A087WXC4,Tenascin-N,TNN
C1QTNF3,Q9BXJ4,21.325525,24.83846,23.95663,2.77560315,-2.865989261,,+,4,4,4,17.5,17.5,17.5,26.994,0,34.777,11113000000,22,Q9BXJ4;B3KXI7;E9PGA6;Q59G48,Q9BXJ4;B3KXI7;E9PGA6;Q59G48,Complement C1q tumor necrosis factor-related protein 3,C1QTNF3;C1QTNF3-AMACR
C16orf46,Q6P387,28.108965,27.97596,27.974925,0.29331017,0.081632572,,,1,1,1,2.5,2.5,2.5,43.417,0.0010633,3.2801,1.88E+11,107,Q6P387;B4DI50,Q6P387;B4DI50,Uncharacterized protein C16orf46,C16orf46
SUSD5,O60279,21.87988,21.4711,21.452675,0.162003778,0.133446439,,,12,12,12,19.9,19.9,19.9,68.02,0,43.706,6690500000,53,O60279;B4DJ06;H7C2K7,O60279;B4DJ06;H7C2K7,Sushi domain-containing protein 5,SUSD5
GANAB,Q14697,22.39306,21.82563,21.931425,0.96961439,0.741948785,,,22,22,22,28.5,28.5,28.5,106.87,0,97.599,7379900000,102,Q14697;V9HWJ0;B4DJ30;F5H6X6;B4DSM6;A0A024R592;B4DIW2;E9PKU7;B4DZ53;E9PNH1;Q9BS14,Q14697;V9HWJ0;B4DJ30;F5H6X6;B4DSM6;A0A024R592;B4DIW2;E9PKU7;B4DZ53,Neutral alpha-glucosidase AB,GANAB;HEL-S-164nA
PRKCSH,K7ELL7,22.25023,22.68357,22.497155,0.356492263,-0.432016839,,,14,14,9,32.1,32.1,18.7,60.192,0,237.1,10725000000,76,K7ELL7;B4DJQ5;P14314;A0A024R7F1;A0A0S2Z4W7;A0A0S2Z4D8;A2VCQ4;A0A0S2Z4A0;K7EPW7;K7EKX1;K7EJ70;K7EIP3,K7ELL7;B4DJQ5;P14314;A0A024R7F1;A0A0S2Z4W7;A0A0S2Z4D8,Glucosidase 2 subunit beta,PRKCSH
,B4DJQ8,22.974615,22.27597,22.496125,1.758690309,0.993899049,,,10,10,1,28.9,28.9,3.6,50.151,0,51.357,6286300000,38,B4DJQ8;I3V9T0;I3V9V3,B4DJQ8,,
KNG1,B4DPP8,29.361435,29.46879,29.836205,0.315234899,-0.257189666,Group enriched,,24,3,0,59.3,4.8,0,46.496,0,20.044,3.13E+11,260,B4DPP8;D3DNU8,B4DPP8;D3DNU8,,KNG1
C1R,B4DPQ0,30.864135,30.77706,30.792575,0.440411049,0.05734361,,,32,32,0,58.3,58.3,0,81.889,0,323.31,1.33E+12,1951,B4DPQ0;Q53HT9;F5H2D0;B4E1B0;D3DUT5;F5H3A3,B4DPQ0;Q53HT9;F5H2D0;B4E1B0,,C1R
PROC,P04070,26.74362,27.16997,27.076145,3.234208164,-0.516830635,Tissue enriched,+,12,12,12,29.9,29.9,29.9,52.071,0,323.31,1.29E+11,258,P04070;B4E1C4;E7END6;B4DPQ3;B4DPC8;Q8J006;A0A0S3LTK9;H7BYX9;Q6V7X9;Q8J008;Q8J007;Q8IXB4;Q6SPC0;Q8J009;Q6V7X8;Q8J004;Q8IXB7;E7ENR9,P04070;B4E1C4;E7END6;B4DPQ3;B4DPC8;Q8J006;A0A0S3LTK9;H7BYX9,Vitamin K-dependent protein C;Vitamin K-dependent protein C light chain;Vitamin K-dependent protein C heavy chain;Activation peptide,PROC
INPP5D,Q92835,27.64417,27.78955,27.928635,0.100902083,0.343703757,,,4,4,4,5.5,5.5,5.5,133.29,0.00060753,5.2088,1.09E+11,61,Q92835;B4DQ61,Q92835;B4DQ61,"Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 1",INPP5D
CD93,Q9NPY3,23.662285,23.92252,22.842855,0.047858466,0.07707439,,,7,7,6,13.2,13.2,12.1,68.559,0,199.87,17105000000,42,Q9NPY3;B4DSX2;Q8IXK1;Q59EB6,Q9NPY3;B4DSX2;Q8IXK1;Q59EB6,Complement component C1q receptor,CD93
SPINT1,O43278,21.8723,22.40967,23.052755,0.028213727,0.054780197,,,8,8,6,15.3,15.3,11.7,58.397,0,11.964,3215400000,17,O43278;B4DTF6;H3BVD9;B2RBU9;H3BTQ8;H3BSM2;H3BNW5;H3BMB6,O43278;B4DTF6;H3BVD9;B2RBU9;H3BTQ8;H3BSM2,Kunitz-type protease inhibitor 1,SPINT1
IVL,P07476,21.63226,27.2803,21.877845,0.843716359,-2.44111042,,,9,9,9,19.1,19.1,19.1,68.478,0,26.508,46412000000,26,P07476;B4DU44;B4DWR5,P07476;B4DU44;B4DWR5,Involucrin,IVL
HEXA,B4DVA7,27.002305,26.42822,26.699695,0.652685261,0.713118553,,,12,12,12,26.5,26.5,26.5,62.013,0,135.4,27832000000,58,B4DVA7;P06865;Q9BVJ8;H3BS10;A0A0S2Z3W3;H3BP20;H3BU85;H3BTD4;B4DVL8;A0A0S2Z3L7;A0A0S2Z3M0;A0A0S2Z3X0;A0A0S2Z3U8;A0A087WUJ7;Q16017;G3XL81;G3XL78;G3XL83;H3BRP6;B4DMX7;A0A087WTY2;H3BVH8;H3BT62;H3BQ04,B4DVA7;P06865;Q9BVJ8;H3BS10;A0A0S2Z3W3;H3BP20;H3BU85;H3BTD4;B4DVL8;A0A0S2Z3L7,Beta-hexosaminidase;Beta-hexosaminidase subunit alpha,HEXA
ATRN,O75882,30.04768,29.87115,30.080035,1.435213527,0.167075539,,,25,25,25,18,18,18,158.54,0,323.31,2.87E+11,1065,O75882;B4DZ36;Q5VV63,O75882;B4DZ36,Attractin,ATRN
ITGB2,B4E0R1,26.24697,25.67303,26.465195,0.570043936,1.255074226,,,9,9,9,16.7,16.7,16.7,77.354,0,38.021,8486800000,16,B4E0R1;P05107;Q59H50;D3DSM0;J3KNI6;Q8WWJ8;Q96PT7;A0A024D9S0;E7EVZ9;A0A024DBF8;A0A024D9P8;A0A024DAS5;A0A024DAT2;A0A024DBF0;A0A024DAS2;A0A024DAE5;E5RK25,B4E0R1;P05107;Q59H50;D3DSM0;J3KNI6;Q8WWJ8,Integrin beta;Integrin beta-2,ITGB2
,B4E1B2,37.29813,37.0369,37.16411,1.539343688,0.166378911,,,46,46,1,60.6,60.6,1.8,74.831,0,323.31,2.61E+13,7451,B4E1B2;H7C5E8;F8WCI6;C9JB55;F8WEK9;CON__Q2HJF0;F8WC57,B4E1B2,,
KNG1,P01042,33.401845,33.56411,33.52887,1.161407665,-0.136760712,Group enriched,,28,28,7,45.5,45.5,10.4,71.957,0,323.31,4.45E+12,3114,P01042;B4E1C2;CON__P01045-1;CON__Q2KJ62;CON__P01044-1,P01042;B4E1C2,Kininogen-1;Kininogen-1 heavy chain;T-kinin;Bradykinin;Lysyl-bradykinin;Kininogen-1 light chain;Low molecular weight growth-promoting factor,KNG1
C4BPA,B4E1D8,32.26664,32.58217,32.53632,1.625425219,-0.257852342,Group enriched,,13,13,13,26.9,26.9,26.9,60.405,0,323.31,1.04E+12,1500,B4E1D8;P04003;B4E1E1;A6PVY5,B4E1D8;P04003;B4E1E1,C4b-binding protein alpha chain,C4BPA
CFB,B4E1Z4,33.91075,33.87004,33.95913,0.247471858,0.044391081,Tissue enriched,,84,84,5,61.6,61.6,5.9,140.94,0,323.31,1.27E+13,9394,B4E1Z4;P00751;A0A0G2JH38;H7C5H1;Q7Z685;D2KT84;A0A0G2JHM4;A0A0G2JJ82;D2KT85;C9JRT3;F2Z3N2;H7C526;B4E1Z1;F8WCJ9;A0A0G2JJM0,B4E1Z4;P00751,Complement factor B;Complement factor B Ba fragment;Complement factor B Bb fragment,CFB
LAMP2,P13473,25.10049,24.8811,25.318565,1.136440791,0.731754875,,,6,6,6,15.4,15.4,15.4,44.96,0,51.502,1.30E+11,127,P13473;B4E2S7;B7Z2R9;H0YCG2;B4DF49,P13473;B4E2S7;B7Z2R9;H0YCG2;B4DF49,Lysosome-associated membrane glycoprotein 2,LAMP2
PLXDC2,Q6UX71,24.75819,24.69179,24.54775,0.254520579,0.095228004,,,13,13,13,30.2,30.2,30.2,59.582,0,280.16,70556000000,203,Q6UX71;B4E367,Q6UX71;B4E367,Plexin domain-containing protein 2,PLXDC2
CECR1,Q9NZK5,23.455075,22.92548,22.539675,1.337238682,0.874758551,,,15,15,1,41.3,41.3,4.7,58.933,0,140.72,15693000000,79,Q9NZK5;B4E3Q4;A0A087X0I3,Q9NZK5;B4E3Q4;A0A087X0I3,Adenosine deaminase CECR1,CECR1
HBG2,P69892,23.49837,20.59546,22.6915,3.492689983,2.245537059,,+,4,3,3,27.9,21.1,21.1,16.126,0,12.462,1529400000,17,P69892;P69891;Q14476;B7UCU6;Q14474;E7CYP2;D9YZU9;D3GKD9;D3GKD8;Q9UNL6;D9YZU8;Q14403;E9PBW4;A0A0J9YYA3,P69892;P69891;Q14476;B7UCU6;Q14474;E7CYP2;D9YZU9;D3GKD9;D3GKD8;Q9UNL6;D9YZU8;Q14403;E9PBW4,Hemoglobin subunit gamma-2;Hemoglobin subunit gamma-1,HBG2;HBG1
,B7Z539,27.77087,27.60399,27.62545,0.22237675,0.8305894,,,47,2,0,79.1,4,0,72.119,0,116.08,1.44E+11,136,B7Z539;F8WAS2;CON__Q0VCM5,B7Z539,,
C8B,P07358,30.588715,30.64581,30.56635,0.11438242,-0.029473029,Tissue enriched,,31,31,31,52.3,52.3,52.3,67.046,0,323.31,1.32E+12,2036,P07358;B7Z550;B7Z555;F5GY80;F5H7G1;B7ZA94;A8K9M5;Q05CV3,P07358;B7Z550;B7Z555;F5GY80;F5H7G1;B7ZA94;A8K9M5;Q05CV3,Complement component C8 beta chain,C8B
AHSG,P02765,33.58648,33.36984,33.45193,1.609465632,0.190066995,Tissue enriched,,10,10,3,40.3,40.3,17.7,39.324,0,323.31,5.06E+12,3358,P02765;B7Z8Q2;C9JV77,P02765;B7Z8Q2;C9JV77,Alpha-2-HS-glycoprotein;Alpha-2-HS-glycoprotein chain A;Alpha-2-HS-glycoprotein chain B,AHSG
CDH13,P55290,24.76053,24.80931,24.59112,0.198865164,-0.128966353,,,18,18,18,35.3,35.3,35.3,78.286,0,323.31,75291000000,184,P55290;B7Z9B1;B7Z3H7;B7Z236;B7Z985,P55290;B7Z9B1,Cadherin-13,CDH13
ITIH4,B7ZKJ8,34.33696,34.50616,34.31912,1.394479612,-0.155664147,Tissue enriched,,61,61,2,65.9,65.9,1.7,103.88,0,323.31,1.00E+13,8653,B7ZKJ8;B7Z551,B7ZKJ8;B7Z551,,ITIH4
AMY1A,P04745,24.503185,24.50142,24.712585,0.140594393,-0.089845361,,,20,20,3,53.2,53.2,8,57.767,0,323.31,32525000000,172,P04745;B7ZMD7;Q6NSB3;Q5T085;C9J2Z5;Q5T084;H7BZQ8;C9JWK7,P04745;B7ZMD7;Q6NSB3;Q5T085,Alpha-amylase 1;Alpha-amylase,AMY1A;AMY1B
MRC1,P22897,24.289055,23.94949,24.160135,1.331927088,1.037699191,,,31,31,31,24,24,24,166.01,0,172.21,31854000000,179,P22897;B9EJA8;Q0Z8D6;B4DLK9,P22897;B9EJA8;Q0Z8D6,Macrophage mannose receptor 1,MRC1;MRC1L1
,C0IMJ3,21.53329,23.44178,22.991265,1.541153291,-1.307971615,,,23,23,0,39.9,39.9,0,87.271,0,323.31,22778000000,163,C0IMJ3,C0IMJ3,,
APOB,C0JYY2,36.31263,36.67871,36.448225,1.97357001,-0.510342322,Group enriched,,297,297,132,71.5,71.5,30.7,515.55,0,323.31,2.79E+13,37799,C0JYY2;P04114;E1A689;Q7Z7Q0;A8MUN2;S5FVK9;E1B4S7;E1B4S8;E1B4S6;Q13828;Q9UE51,C0JYY2;P04114;E1A689,Apolipoprotein B-100;Apolipoprotein B-48,APOB
C1S,C9IZP8,23.92053,26.03171,26.163005,0.359055537,-0.902781868,,,1,1,1,16.5,16.5,16.5,11.808,0,16.394,54481000000,36,C9IZP8,C9IZP8,,C1S
